Determiner,Pronoun_Male,Pronoun_Female,Technical_Word,Relationship_And_Personal_Life,Preposition,Common_Word_Count,Gender
38,0,3,27,22,183,64,0
102,9,1,42,35,187,96,0
96,31,3,25,21,117,87,0
99,0,3,38,33,123,75,0
85,2,2,28,31,130,78,0
52,0,0,33,42,113,33,0
98,7,1,31,45,165,73,0
72,1,0,36,16,109,70,0
133,6,5,22,50,196,93,0
78,9,0,23,55,114,89,0
96,3,14,26,83,162,91,0
112,0,0,40,63,166,70,0
98,4,3,22,46,126,81,0
116,5,3,39,46,198,92,0
96,0,1,24,40,141,78,0
83,5,0,33,71,159,78,0
69,0,2,29,28,154,65,0
84,2,1,28,59,163,81,0
21,0,0,19,18,66,46,0
78,14,8,19,55,155,93,0
174,1,1,14,11,253,67,0
97,3,2,43,41,154,79,0
109,7,5,36,42,162,93,0
92,2,1,19,25,150,75,0
74,1,1,27,50,133,87,0
83,16,2,42,25,134,85,0
41,2,1,4,16,40,44,0
71,0,1,17,37,130,81,0
111,1,0,22,26,175,85,0
9,0,0,1,5,62,25,0
78,11,6,25,36,96,73,0
120,3,2,42,55,160,75,0
125,0,3,22,43,183,83,0
61,0,0,11,19,101,69,0
62,2,3,18,52,134,77,0
96,6,7,23,38,147,91,0
107,1,3,38,53,176,83,0
103,13,0,30,30,152,84,0
90,0,0,12,44,267,59,0
129,4,12,35,67,219,88,0
67,1,2,21,42,198,78,0
111,2,2,40,50,184,87,0
101,0,2,30,36,160,72,0
131,4,1,23,51,132,77,0
137,3,3,26,53,232,91,0
161,1,4,30,53,262,93,0
107,0,0,8,52,165,54,0
93,9,3,22,50,162,88,0
79,0,0,34,78,117,80,0
74,2,3,24,39,134,80,0
81,1,0,21,43,120,75,0
89,3,0,26,34,136,68,0
56,0,1,11,24,126,74,0
25,0,2,18,33,180,50,0
106,4,8,29,57,207,91,0
63,9,6,16,37,167,82,0
86,12,11,21,41,166,97,0
57,9,3,16,23,151,80,0
110,2,4,24,42,157,84,0
114,3,0,28,32,175,89,0
93,2,0,40,32,196,77,0
122,0,0,67,65,147,61,0
97,0,3,16,49,148,72,0
88,12,4,12,29,167,85,0
65,4,1,31,23,132,81,0
70,0,0,46,39,176,76,0
64,0,1,43,30,84,59,0
60,5,7,9,53,84,80,0
58,2,1,16,31,88,71,0
121,7,5,29,34,152,85,0
46,1,2,14,24,78,54,0
94,7,0,18,45,196,89,0
88,4,0,29,35,172,77,0
64,4,0,23,27,121,67,0
109,7,4,35,40,180,75,0
98,7,2,18,30,104,74,0
123,0,6,20,67,196,81,0
60,2,2,37,14,126,70,0
109,4,1,53,34,219,89,0
87,3,4,25,35,141,81,0
65,6,10,27,45,100,82,0
129,19,4,24,37,188,94,0
99,5,5,24,64,217,96,0
111,5,1,38,52,155,82,0
72,0,0,15,46,138,80,0
62,0,1,28,30,117,65,0
125,5,0,29,40,194,83,0
76,1,1,43,17,181,75,0
105,1,1,24,31,190,80,0
79,1,0,19,32,113,75,0
116,6,11,36,71,181,92,0
146,19,10,32,35,210,93,0
102,4,7,21,39,166,86,0
100,3,1,32,33,139,83,0
80,0,4,12,52,132,74,0
107,1,3,26,58,179,87,0
121,2,1,21,19,135,86,0
68,15,2,22,60,126,78,0
132,2,3,22,59,186,89,0
37,4,0,41,18,135,57,0
174,5,6,27,37,212,92,0
89,0,4,24,49,193,81,0
54,23,5,28,40,146,88,0
118,4,4,28,48,189,84,0
47,0,0,140,47,124,39,0
75,5,4,19,31,160,73,0
85,2,5,28,61,147,82,0
46,0,0,10,36,135,66,0
100,1,0,22,38,176,72,0
83,7,4,32,25,137,77,0
80,1,1,32,51,150,79,0
103,0,0,25,43,157,74,0
92,2,4,19,38,114,79,0
109,4,6,36,55,174,88,0
102,5,3,34,66,161,93,0
